calBP,PrDens,PrDens_Taphonomic,Site
49868,0.000399476,0.000256349,Border Cave
49867,0.000399631,0.000256442,Border Cave
49866,0.000399786,0.000256534,Border Cave
49865,0.000399941,0.000256627,Border Cave
49864,0.000400096,0.000256719,Border Cave
49863,0.000400251,0.000256812,Border Cave
49862,0.000400406,0.000256905,Border Cave
49861,0.000400561,0.000256997,Border Cave
49860,0.000400716,0.00025709,Border Cave
49859,0.000400865,0.000257179,Border Cave
49858,0.000401015,0.000257268,Border Cave
49857,0.000401164,0.000257357,Border Cave
49856,0.000401313,0.000257446,Border Cave
49855,0.000401463,0.000257535,Border Cave
49854,0.000401612,0.000257623,Border Cave
49853,0.000401761,0.000257712,Border Cave
49852,0.000401911,0.000257801,Border Cave
49851,0.00040206,0.00025789,Border Cave
49850,0.000402209,0.000257979,Border Cave
49849,0.000402359,0.000258068,Border Cave
49848,0.000402508,0.000258157,Border Cave
49847,0.000402657,0.000258245,Border Cave
49846,0.000402806,0.000258334,Border Cave
49845,0.000402956,0.000258423,Border Cave
49844,0.000403105,0.000258512,Border Cave
49843,0.000403254,0.000258601,Border Cave
49842,0.000403404,0.00025869,Border Cave
49841,0.000403553,0.000258778,Border Cave
49840,0.000403702,0.000258867,Border Cave
49839,0.000403846,0.000258952,Border Cave
49838,0.000403989,0.000259037,Border Cave
49837,0.000410822,0.000263412,Border Cave
49836,0.000410975,0.000263502,Border Cave
49835,0.000411127,0.000263593,Border Cave
49834,0.00041128,0.000263684,Border Cave
49833,0.000411432,0.000263775,Border Cave
49832,0.000411585,0.000263865,Border Cave
49831,0.000411738,0.000263956,Border Cave
49830,0.00041189,0.000264047,Border Cave
49829,0.000412043,0.000264138,Border Cave
49828,0.000412195,0.000264228,Border Cave
49827,0.000412348,0.000264319,Border Cave
49826,0.0004125,0.00026441,Border Cave
49825,0.000412653,0.000264501,Border Cave
49824,0.000412805,0.000264591,Border Cave
49823,0.000412958,0.000264682,Border Cave
49822,0.000413111,0.000264773,Border Cave
49821,0.000413263,0.000264863,Border Cave
49820,0.000413416,0.000264954,Border Cave
49819,0.000413562,0.000265041,Border Cave
49818,0.000413709,0.000265128,Border Cave
49817,0.000413855,0.000265214,Border Cave
49816,0.000414002,0.000265301,Border Cave
49815,0.000414148,0.000265388,Border Cave
49814,0.000414294,0.000265475,Border Cave
49813,0.000414441,0.000265561,Border Cave
49812,0.000414587,0.000265648,Border Cave
49811,0.000414734,0.000265735,Border Cave
49810,0.00041488,0.000265821,Border Cave
49809,0.000415027,0.000265908,Border Cave
49808,0.000415173,0.000265995,Border Cave
49807,0.00041532,0.000266082,Border Cave
49806,0.000415466,0.000266168,Border Cave
49805,0.000415613,0.000266255,Border Cave
49804,0.000415759,0.000266342,Border Cave
49803,0.000415906,0.000266429,Border Cave
49802,0.000416052,0.000266515,Border Cave
49801,0.000416199,0.000266602,Border Cave
49800,0.000416345,0.000266689,Border Cave
49799,0.000416492,0.000266775,Border Cave
49798,0.000416638,0.000266862,Border Cave
49797,0.000416785,0.000266949,Border Cave
49796,0.000416931,0.000267035,Border Cave
49795,0.000417078,0.000267122,Border Cave
49794,0.000417224,0.000267209,Border Cave
49793,0.000417371,0.000267296,Border Cave
49792,0.000417518,0.000267382,Border Cave
49791,0.000417664,0.000267469,Border Cave
49790,0.000417811,0.000267556,Border Cave
49789,0.000417957,0.000267642,Border Cave
49788,0.000418104,0.000267729,Border Cave
49787,0.00041825,0.000267816,Border Cave
49786,0.000418397,0.000267902,Border Cave
49785,0.000418544,0.000267989,Border Cave
49784,0.00041869,0.000268076,Border Cave
49783,0.000418837,0.000268162,Border Cave
49782,0.000418983,0.000268249,Border Cave
49781,0.00041913,0.000268336,Border Cave
49780,0.000419277,0.000268422,Border Cave
49779,0.000419411,0.000268501,Border Cave
49778,0.000419545,0.00026858,Border Cave
49777,0.00041968,0.000268659,Border Cave
49776,0.000419814,0.000268738,Border Cave
49775,0.000419949,0.000268817,Border Cave
49774,0.000420083,0.000268895,Border Cave
49773,0.000420217,0.000268974,Border Cave
49772,0.000420352,0.000269053,Border Cave
49771,0.000420486,0.000269132,Border Cave
49770,0.000420621,0.000269211,Border Cave
49769,0.000420755,0.00026929,Border Cave
49768,0.00042089,0.000269368,Border Cave
49767,0.000421024,0.000269447,Border Cave
49766,0.000421158,0.000269526,Border Cave
49765,0.000421293,0.000269605,Border Cave
49764,0.000421427,0.000269684,Border Cave
49763,0.000421562,0.000269762,Border Cave
49762,0.000421696,0.000269841,Border Cave
49761,0.000421831,0.00026992,Border Cave
49760,0.000421965,0.000269999,Border Cave
49759,0.000422093,0.000270074,Border Cave
49758,0.000422222,0.000270149,Border Cave
49757,0.00042235,0.000270223,Border Cave
49756,0.000422478,0.000270298,Border Cave
49755,0.000422607,0.000270373,Border Cave
49754,0.000422735,0.000270448,Border Cave
49753,0.000422863,0.000270523,Border Cave
49752,0.000422992,0.000270598,Border Cave
49751,0.00042312,0.000270673,Border Cave
49750,0.000423248,0.000270747,Border Cave
49749,0.000423377,0.000270822,Border Cave
49748,0.000423505,0.000270897,Border Cave
49747,0.000423633,0.000270972,Border Cave
49746,0.000423762,0.000271047,Border Cave
49745,0.00042389,0.000271122,Border Cave
49744,0.000424018,0.000271196,Border Cave
49743,0.000424147,0.000271271,Border Cave
49742,0.000424275,0.000271346,Border Cave
49741,0.000424403,0.000271421,Border Cave
49740,0.000424532,0.000271496,Border Cave
49739,0.000424654,0.000271567,Border Cave
49738,0.000424776,0.000271637,Border Cave
49737,0.000424899,0.000271708,Border Cave
49736,0.000425021,0.000271779,Border Cave
49735,0.000425143,0.00027185,Border Cave
49734,0.000425265,0.000271921,Border Cave
49733,0.000425388,0.000271992,Border Cave
49732,0.00042551,0.000272063,Border Cave
49731,0.000425632,0.000272134,Border Cave
49730,0.000425754,0.000272204,Border Cave
49729,0.000425877,0.000272275,Border Cave
