Site,longitude,latitude,time_bp,bio01,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,npp,bio01_diff,time_elapsed,bio01_RoC_per_century,bio04_diff,bio04_RoC_per_century,bio05_diff,bio05_RoC_per_century,bio06_diff,bio06_RoC_per_century,bio07_diff,bio07_RoC_per_century,bio08_diff,bio08_RoC_per_century,bio09_diff,bio09_RoC_per_century,bio10_diff,bio10_RoC_per_century,bio11_diff,bio11_RoC_per_century,bio12_diff,bio12_RoC_per_century,bio13_diff,bio13_RoC_per_century,bio14_diff,bio14_RoC_per_century,bio15_diff,bio15_RoC_per_century,bio16_diff,bio16_RoC_per_century,bio17_diff,bio17_RoC_per_century,bio18_diff,bio18_RoC_per_century,bio19_diff,bio19_RoC_per_century,npp_diff,npp_RoC_per_century
Border Cave,31.989,-27.021,-50000,18.32396889,340.4482727,29.33698845,5.097438335,24.23954964,20.57457924,13.63557911,22.14056587,13.63557911,599.9844971,110.8456802,2.743234873,64.159935,245.6316528,44.60116959,214.4884644,44.60116959,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Cave,31.989,-27.021,-48000,17.86560631,363.7125244,29.12488174,4.137144089,24.98773766,21.77264595,12.99024296,21.86875343,12.99024296,676.7205811,110.3723907,5.485517979,63.65404892,275.5072327,50.52746964,251.6645508,50.52746964,620,-0.458362579,2000,-0.022918129,23.26425171,1.1632125854492499,-0.212106705,-0.010605335,-0.960294247,-0.048014712,0.7481880187987997,0.037409401,1.198066711425799,0.059903336,-0.645336151,-0.032266808,-0.271812439,-0.013590622,-0.645336151,-0.032266808,76.73608398,3.836804199,-0.47328949,-0.023664474,2.742283106,0.137114155,-0.505886078,-0.025294304,29.87557983398503,1.4937789916992514,5.926300048828203,0.2963150024414102,37.176086425780994,1.8588043212890495,5.926300048828203,0.2963150024414102,105,5.25
Border Cave,31.989,-27.021,-46000,18.14213943,356.5476685,29.44514656,4.604662895,24.84048462,21.9816494,13.28055477,22.14246368,13.28055477,605.2865601,128.0346985,0,66.63420868,261.1671753,29.82781982,255.1283264,29.82781982,540,0.2765331268311009,2000,0.013826656341555044,-7.164855957,-0.358242798,0.320264816,0.016013241,0.4675188064575204,0.023375940322876022,-0.147253036,-0.007362652,0.2090034484862997,0.010450172424314985,0.29031181335450107,0.014515590667725054,0.2737102508544993,0.013685512542724966,0.29031181335450107,0.014515590667725054,-71.434021,-3.57170105,17.66230773925801,0.8831153869629006,-5.485517979,-0.274275899,2.9801597595215057,0.14900798797607528,-14.34005737,-0.717002869,-20.69964981,-1.034982491,3.4637756347659945,0.17318878173829974,-20.69964981,-1.034982491,-80,-4
Border Cave,31.989,-27.021,-44000,18.03266907,340.8266296,29.05675697,4.78373909,24.27301788,21.76321411,13.42215729,21.85121155,13.42215729,636.7435913,113.0158234,0,64.26849365,238.2497559,42.66737366,204.3372955,42.66737366,613,-0.109470367,2000,-0.005473518,-15.72103882,-0.786051941,-0.388389587,-0.019419479,0.17907619476318004,0.00895381,-0.567466736,-0.028373337,-0.218435287,-0.010921764,0.1416025161743999,0.007080126,-0.291252136,-0.014562607,0.1416025161743999,0.007080126,31.45703125,1.5728515625000001,-15.01887512,-0.750943756,0,0,-2.365715027,-0.118285751,-22.91741943,-1.145870972,12.839553833007798,0.6419776916503899,-50.79103088,-2.539551544,12.839553833007798,0.6419776916503899,73,3.65
Border Cave,31.989,-27.021,-42000,17.76558304,331.4738159,28.76789093,4.663685322,24.10420609,21.48421669,13.93345356,21.48421669,13.28880787,539.4039307,86.80030823,3.516089201,61.38050461,217.0260468,32.32637405,217.0260468,51.48504639,501,-0.267086029,2000,-0.013354301,-9.352813721,-0.467640686,-0.288866043,-0.014443302,-0.120053768,-0.006002688,-0.168811798,-0.00844059,-0.278997421,-0.013949871,0.5112962722778001,0.025564813613890004,-0.366994858,-0.018349743,-0.133349419,-0.006667471,-97.33966064,-4.866983032,-26.21551514,-1.310775757,3.516089201,0.1758044600486755,-2.887989044,-0.144399452,-21.22370911,-1.061185455,-10.3409996,-0.51704998,12.688751220703011,0.6344375610351506,8.817672729492202,0.44088363647461004,-112,-5.6
Border Cave,31.989,-27.021,-40000,17.71464348,307.4835815,28.23090935,4.796646595,23.43426323,21.12591743,14.00775433,21.12591743,13.67123318,621.5841675,90.8613739,13.36542416,58.81289291,234.051239,41.41484833,234.051239,48.84365845,556,-0.05093956,2000,-0.002546978,-23.99023438,-1.199511719,-0.536981583,-0.026849079,0.13296127319335938,0.006648064,-0.669942856,-0.033497143,-0.358299255,-0.017914963,0.074300766,0.003715038,-0.358299255,-0.017914963,0.38242530822759946,0.019121265411379974,82.18023681640602,4.109011840820301,4.061065673828097,0.20305328369140482,9.849334955,0.4924667477607745,-2.567611694,-0.128380585,17.02519226074199,0.8512596130370994,9.088474273681598,0.45442371368407986,17.02519226074199,0.8512596130370994,-2.641387939,-0.132069397,55,2.75
Border Cave,31.989,-27.021,-38000,17.98446846,277.1792297,28.2308712,5.675766945,22.5551033,20.15337563,14.66319942,21.06173706,14.3013792,564.401001,96.96638489,6.874344826,60.02387619,224.5843353,42.73873901,153.5440826,52.9455452,491,0.26982498168939983,2000,0.013491249084469992,-30.30435181,-1.51521759,-3.81E-05,-1.91E-06,0.8791203498840305,0.043956017,-0.879159927,-0.043957996,-0.972541809,-0.04862709,0.6554450988770011,0.032772254943850054,-0.064180374,-0.003209019,0.6301460266112997,0.031507301,-57.1831665,-2.859158325,6.105010986328097,0.30525054931640483,-6.49107933,-0.324553967,1.2109832763670951,0.060549163818354755,-9.466903687,-0.473345184,1.323890686035206,0.066194534,-80.50715637,-4.025357819,4.1018867492676065,0.20509433746338032,-65,-3.25
Border Cave,31.989,-27.021,-36000,18.07134438,262.0735474,28.00865555,5.692664623,22.31599045,18.35706139,14.79721737,20.95052528,14.64616871,593.8422852,94.64871216,9.847615242,59.38811111,239.3468323,44.13079071,160.1711731,53.8081665,513,0.086875916,2000,0.004343796,-15.10568237,-0.755284119,-0.222215652,-0.011110783,0.016897678,0.000844884,-0.239112854,-0.011955643,-1.79631424,-0.089815712,0.1340179443359002,0.006700897,-0.111211777,-0.005560589,0.3447895050049006,0.017239475250245027,29.441284179687045,1.4720642089843523,-2.317672729,-0.115883636,2.9732704162597594,0.14866352081298798,-0.635765076,-0.031788254,14.762496948242983,0.7381248474121492,1.392051696777294,0.069602585,6.6270904541010225,0.33135452270505117,0.8626213073730966,0.043131065,22,1.0999999999999999
Border Cave,31.989,-27.021,-34000,17.90005684,251.6685486,27.63313675,5.686969757,21.94616699,18.46350288,14.71033382,20.66563797,14.57797146,598.0936279,85.96929169,1.080340147,59.49642181,241.7002258,27.14309883,172.9314728,50.61771393,508,-0.171287537,2000,-0.008564377,-10.40499878,-0.520249939,-0.375518799,-0.01877594,-0.005694866,-0.000284743,-0.369823456,-0.018491173,0.1064414978027024,0.005322075,-0.086883545,-0.004344177,-0.284887314,-0.014244366,-0.06819725,-0.003409863,4.251342773437955,0.21256713867189775,-8.679420471,-0.433971024,-8.767275095,-0.438363755,0.10831069946279825,0.005415535,2.353393554687017,0.11766967773435084,-16.98769188,-0.849384594,12.760299682616989,0.6380149841308494,-3.190452576,-0.159522629,-5,-0.25
Border Cave,31.989,-27.021,-32000,17.92748451,266.1062927,27.9063549,5.465137005,22.44121742,18.55524826,14.54794788,20.81915474,14.35445023,700.6804199,107.5890045,15.85535812,54.20763016,284.2958984,77.12338257,161.4256744,83.83338928,584,0.027427673339801117,2000,0.001371384,14.437744140624972,0.7218872070312486,0.2732181549072017,0.013660907745360084,-0.221832752,-0.011091638,0.4950504302979013,0.024752521514895064,0.091745377,0.004587269,-0.162385941,-0.008119297,0.153516769,0.007675838,-0.223521233,-0.011176062,102.58679199218705,5.129339599609352,21.61971283,1.080985641479515,14.775017976760871,0.7387508988380436,-5.288791656,-0.264439583,42.59567260742199,2.1297836303710995,49.98028374,2.499014187,-11.50579834,-0.575289917,33.215675354003906,1.6607837677001955,76,3.8
