Layer,Age (ka),Error (ka),Max Error Allowed,>10%?,Reference
Level 25 (252 cm / Still Bay),70.5,4.7,7.05,N,Lombard et al. (2010)
Level 22 (215 cm / Howiesons Poort),60,3.5,6,N,Lombard et al. (2010)
Level 20 (180 cm / Late MSA),41.9,2.6,4.19,N,Lombard et al. (2010)
