"calBP","PrDens"
54562,1.92194198736454e-05
54561,1.92251025185536e-05
54560,1.92307891021648e-05
54559,1.92388866891287e-05
54558,1.92469900953052e-05
54557,1.92550993252509e-05
54556,1.92632143835252e-05
54555,1.92713352746913e-05
54554,1.92794620033158e-05
54553,1.92875945739686e-05
54552,1.92957329912231e-05
54551,1.93038772596557e-05
54550,1.93120273838466e-05
54549,1.93201833683792e-05
54548,1.93283452178406e-05
54547,1.9336512936821e-05
54546,1.93446865299139e-05
54545,1.93528660017164e-05
54544,1.93610513568291e-05
54543,1.93692425998558e-05
54542,1.93774397354041e-05
54541,1.93856427680842e-05
54540,1.93938517025104e-05
54539,1.93996382338373e-05
54538,1.94054287778922e-05
54537,1.9411223337655e-05
54536,1.94170219161075e-05
54535,1.94228245162336e-05
54534,1.94286311410197e-05
54533,1.94344417934538e-05
54532,1.94402564765265e-05
54531,1.94460751932304e-05
54530,1.94518979465602e-05
54529,1.94577247395128e-05
54528,1.94635555750873e-05
54527,1.94693904562849e-05
54526,1.94752293861089e-05
54525,1.94810723675648e-05
54524,1.94869194036603e-05
54523,1.94927704974053e-05
54522,1.94986256518117e-05
54521,1.95044848698937e-05
54520,1.95103481546675e-05
54519,1.95162155091518e-05
54518,1.95220869363671e-05
54517,1.95279624393362e-05
54516,1.95338420210841e-05
54515,1.95397256846379e-05
54514,1.9545613433027e-05
54513,1.95515052692829e-05
54512,1.95574011964391e-05
54511,1.95633012175316e-05
54510,1.95692053355983e-05
54509,1.95751135536793e-05
54508,1.95810258748171e-05
54507,1.95869423020562e-05
54506,1.95928628384433e-05
54505,1.95987874870272e-05
54504,1.96047162508591e-05
54503,1.96106491329922e-05
54502,1.96165861364818e-05
54501,1.96225272643857e-05
54500,1.96284725197637e-05
54499,1.96342505915926e-05
54498,1.96400320314916e-05
54497,1.96458168415843e-05
54496,1.96516050239962e-05
54495,1.96573965808533e-05
54494,1.96631915142835e-05
54493,1.96689898264158e-05
54492,1.96747915193804e-05
54491,1.9680596595309e-05
54490,1.9686405056334e-05
54489,1.96922169045899e-05
54488,1.96980321422121e-05
54487,1.97038507713369e-05
54486,1.97096727941028e-05
54485,1.97154982126485e-05
54484,1.97213270291148e-05
54483,1.97271592456436e-05
54482,1.97329948643778e-05
54481,1.97388338874621e-05
54480,1.97446763170417e-05
54479,1.97507006995726e-05
54478,1.97567292702434e-05
54477,1.97627620321588e-05
54476,1.97687989884259e-05
54475,1.9774840142154e-05
54474,1.97808854964544e-05
54473,1.97869350544409e-05
54472,1.97929888192293e-05
54471,1.97990467939376e-05
54470,1.98051089816864e-05
