Assemblage_Layer,Min_Age,Max_Age,AgeBP,Age,Lithic_Piece_Count
Inch 0-6,30000,50000,-40000,40000,388
Inch 6-12,30000,58000,-44000,44000,581
Inch 12-18,30000,58000,-44000,44000,378
Inch 18-24,30000,58000,-44000,44000,256
,,,-35000,35000,3979
,,,-43000,43000,5980
