"calBP","PrDens"
55000,0.000564331745312377
54999,0.000564533552141496
54998,0.000564735375877376
54997,0.000564937216446082
54996,0.000565139073773599
54995,0.000565340947785824
54994,0.000565542838408576
54993,0.000565744745567586
54992,0.000565946669188504
54991,0.000566148609196899
54990,0.000566350565518255
54989,0.000566552538077971
54988,0.000566754526801365
54987,0.000566956531613669
54986,0.000567158552440038
54985,0.000567360589205537
54984,0.000567562641835152
54983,0.000567764710253782
54982,0.000567966794386246
54981,0.000568168894157279
54980,0.000568371009491532
54979,0.000568570813430755
54978,0.000568770624670696
54977,0.000568970443136075
54976,0.000569170268751545
54975,0.000569370101441686
54974,0.000569569941131011
54973,0.000569769787743965
54972,0.00056996964120492
54971,0.000570169501438186
54970,0.000570369368367998
54969,0.000570569241918525
54968,0.000570769122013865
54967,0.000570969008578048
54966,0.000571168901535037
54965,0.000571368800808723
54964,0.000571568706322931
54963,0.000571768618001413
54962,0.000571968535767855
54961,0.000572168459545877
54960,0.000572368389259023
54959,0.000572570734273874
54958,0.000572773093177843
54957,0.000572975465893738
54956,0.000573177852344287
54955,0.000573380252452132
54954,0.00057358266613983
54953,0.000573785093329858
54952,0.000573987533944605
54951,0.000574189987906384
54950,0.000574392455137416
54949,0.000574594935559844
54948,0.000574797429095725
54947,0.000574999935667032
54946,0.000575202455195658
54945,0.00057540498760341
54944,0.000575607532812011
54943,0.0005758100907431
54942,0.000576012661318234
54941,0.000576215244458887
54940,0.000576417840086448
54939,0.00057661795912677
54938,0.000576818082399113
54937,0.000577018209825369
54936,0.000577218341327367
54935,0.000577418476826862
54934,0.000577618616245542
54933,0.000577818759505027
54932,0.000578018906526866
54931,0.000578219057232543
54930,0.00057841921154347
54929,0.000578619369380991
54928,0.000578819530666382
54927,0.000579019695320849
54926,0.000579219863265532
54925,0.0005794200344215
54924,0.000579620208709753
54923,0.000579820386051225
54922,0.000580020566366776
54921,0.000580220749577205
54920,0.000580420935603236
54919,0.000580610716929366
54918,0.000580800502778603
54917,0.000580990293083788
54916,0.000581180087777702
54915,0.000581369886793071
54914,0.000581559690062563
54913,0.000581749497518787
54912,0.000581939309094296
54911,0.00058212912472158
54910,0.000582318944333076
54909,0.000582508767861162
54908,0.000582698595238157
54907,0.000582888426396324
54906,0.000583078261267865
54905,0.000583268099784925
54904,0.000583457941879594
54903,0.000583647787483901
54902,0.00058383763652982
54901,0.000584027488949262
54900,0.000584217344674085
54899,0.000584407203636087
54898,0.00058459706576701
54897,0.000584786930998536
54896,0.000584976799262289
54895,0.000585166670489836
54894,0.000585356544612687
54893,0.000585546421562293
54892,0.00058573630127005
54891,0.000585926183667289
54890,0.000586116068685291
54889,0.000586305956255275
54888,0.000586495846308404
54887,0.000586685738775783
54886,0.000586875633588457
54885,0.000587065530677415
54884,0.00058725542997359
54883,0.000587445331407853
54882,0.000587635234911024
54881,0.000587825140413855
54880,0.00058801504784705
54879,0.000588207681963049
54878,0.000588400325388628
54877,0.000588592978052948
54876,0.000588785639885092
54875,0.000588978310814078
54874,0.00058917099076885
54873,0.000589363679678281
54872,0.000589556377471175
54871,0.000589749084076261
54870,0.000589941799422199
54869,0.00059013452343758
54868,0.000590327256050919
54867,0.000590519997190666
54866,0.000590712746785193
54865,0.000590905504762805
54864,0.000591098271051735
54863,0.000591291045580145
54862,0.000591483828276128
54861,0.0005916766190677
54860,0.000591869417882811
54859,0.000592049072296502
54858,0.000592228729156851
54857,0.000592408388404557
